open,high,low,close,volume,closeTime
0.17524,0.17568,0.1751,0.1754,111428,1759103399999
0.17536,0.1759,0.17528,0.17571,157033,1759103459999
0.17573,0.17629,0.17542,0.17564,275247,1759103519999
0.17566,0.17688,0.17543,0.17648,347501,1759103579999
0.17642,0.1766,0.17585,0.17616,194895,1759103639999
0.17619,0.17659,0.17609,0.17648,177584,1759103699999
0.17652,0.1768,0.17591,0.1762,188036,1759103759999
0.1762,0.17674,0.17588,0.17631,268891,1759103819999
0.17639,0.1776,0.17639,0.17704,374525,1759103879999
0.17707,0.17732,0.17647,0.17648,153220,1759103939999
0.17648,0.17682,0.17642,0.17664,94054,1759103999999
0.17662,0.17677,0.17584,0.1759,438952,1759104059999
0.17597,0.17738,0.1759,0.17737,505712,1759104119999
0.17736,0.17774,0.17713,0.17749,288796,1759104179999
0.17749,0.17778,0.17714,0.17727,195004,1759104239999
0.17727,0.17765,0.1768,0.1773,207580,1759104299999
0.17729,0.18019,0.17729,0.17966,560276,1759104359999
0.17972,0.17987,0.1782,0.17855,324526,1759104419999
0.17854,0.17887,0.17815,0.17845,311654,1759104479999
0.17848,0.17915,0.17844,0.17896,143822,1759104539999
0.17892,0.17928,0.17888,0.17896,282647,1759104599999
0.17896,0.19039,0.17894,0.18658,4795333,1759104659999
0.18662,0.18666,0.18551,0.18627,848086,1759104719999
0.18627,0.18663,0.18521,0.1856,472451,1759104779999
0.18554,0.19027,0.18508,0.18736,2467412,1759104839999
0.18745,0.18871,0.18742,0.18821,1004745,1759104899999
0.18816,0.191,0.18669,0.18961,2045226,1759104959999
0.18964,0.18998,0.18773,0.18824,729428,1759105019999
0.18824,0.18824,0.1868,0.18702,385874,1759105079999
0.18695,0.1871,0.18516,0.18548,380315,1759105139999
0.18538,0.18696,0.18535,0.1862,533608,1759105199999
0.18614,0.18771,0.18607,0.18756,207548,1759105259999
0.18751,0.18788,0.18715,0.18734,232085,1759105319999
0.18725,0.18833,0.18724,0.18761,363560,1759105379999
0.18761,0.18789,0.18698,0.18709,202628,1759105439999
0.18709,0.18727,0.18678,0.18711,103610,1759105499999
0.18705,0.1876,0.18691,0.18752,130452,1759105559999
0.18752,0.18779,0.18685,0.18693,242183,1759105619999
0.18693,0.18694,0.18622,0.18639,263694,1759105679999
0.18646,0.18666,0.18603,0.18636,144583,1759105739999
0.18631,0.18663,0.18626,0.18642,84630,1759105799999
0.18638,0.1886,0.18611,0.18772,388869,1759105859999
0.18767,0.18866,0.18742,0.18817,405678,1759105919999
0.18803,0.18857,0.18785,0.18857,211697,1759105979999
0.18856,0.18886,0.18816,0.1886,163482,1759106039999
0.18857,0.18898,0.18831,0.18884,154570,1759106099999
0.18886,0.18923,0.18869,0.18894,199682,1759106159999
0.18895,0.18895,0.1876,0.18833,293544,1759106219999
0.18832,0.20164,0.18806,0.19774,3672143,1759106279999
0.19775,0.19831,0.19612,0.19685,834410,1759106339999
0.19674,0.19693,0.1952,0.19614,595688,1759106399999
0.19614,0.20084,0.19545,0.1988,1657271,1759106459999
0.1988,0.20016,0.19835,0.19943,806052,1759106519999
0.19931,0.20113,0.1992,0.20098,675095,1759106579999
0.20098,0.20148,0.19997,0.20022,445094,1759106639999
0.20018,0.20063,0.19912,0.19912,363883,1759106699999
0.19919,0.19929,0.19839,0.19925,296504,1759106759999
0.19925,0.20068,0.19912,0.20036,247707,1759106819999
0.20036,0.2004,0.19821,0.19888,346372,1759106879999
0.19889,0.20015,0.19872,0.20001,277871,1759106939999
0.19992,0.2008,0.19941,0.19988,288711,1759106999999
0.19988,0.20038,0.19942,0.2,154484,1759107059999
0.20007,0.20024,0.1995,0.20017,252454,1759107119999
0.20019,0.20176,0.1998,0.20068,676569,1759107179999
0.20074,0.20132,0.20032,0.20072,387568,1759107239999
0.20072,0.20095,0.20019,0.20047,178122,1759107299999
0.20047,0.20096,0.19789,0.19848,582368,1759107359999
0.19849,0.20028,0.19849,0.20028,273544,1759107419999
0.20028,0.20148,0.2002,0.20107,350874,1759107479999
0.201,0.20195,0.20041,0.20165,466243,1759107539999
0.20181,0.20316,0.20071,0.20239,586086,1759107599999
0.20232,0.20424,0.20138,0.20325,708592,1759107659999
0.2033,0.20497,0.20291,0.20378,710982,1759107719999
0.20378,0.20425,0.20345,0.20384,293305,1759107779999
0.20381,0.20417,0.2019,0.2019,549257,1759107839999
0.20203,0.20375,0.20193,0.2036,370387,1759107899999
0.2036,0.204,0.20341,0.20372,164480,1759107959999
0.20372,0.20398,0.20321,0.20367,148200,1759108019999
0.20367,0.20409,0.2034,0.20348,218633,1759108079999
0.20348,0.20356,0.20248,0.20276,314655,1759108139999
0.20274,0.20318,0.2024,0.20299,158985,1759108199999
0.20295,0.204,0.20285,0.20357,229477,1759108259999
0.2036,0.20399,0.20277,0.20369,239968,1759108319999
0.20369,0.20492,0.20356,0.20468,325914,1759108379999
0.20462,0.206,0.2046,0.20518,462843,1759108439999
0.20515,0.20569,0.20383,0.20422,272525,1759108499999
0.20424,0.20556,0.20423,0.20449,267585,1759108559999
0.20441,0.20527,0.20376,0.20506,450893,1759108619999
0.20494,0.20498,0.20273,0.20326,301658,1759108679999
0.20326,0.2036,0.20161,0.20271,674610,1759108739999
0.20281,0.20352,0.20236,0.20298,243405,1759108799999
0.20298,0.20343,0.20265,0.20293,200143,1759108859999
0.20299,0.20309,0.20191,0.20273,289980,1759108919999
0.20275,0.20289,0.20114,0.20256,611943,1759108979999
0.20253,0.20253,0.19994,0.201,1091752,1759109039999
0.20106,0.2014,0.19666,0.19919,1163902,1759109099999
0.19916,0.20085,0.19909,0.20014,818232,1759109159999
0.20025,0.20075,0.20005,0.2007,160119,1759109219999
0.20065,0.20137,0.20032,0.20125,267331,1759109279999
0.20127,0.20309,0.20111,0.20245,608443,1759109339999
0.20242,0.20283,0.20214,0.20223,189450,1759109399999
0.20228,0.20279,0.20198,0.20269,221688,1759109459999
0.20275,0.20302,0.2018,0.20263,275638,1759109519999
0.20263,0.20291,0.20052,0.20112,385913,1759109579999
0.2012,0.2012,0.19953,0.20007,632616,1759109639999
0.20013,0.2002,0.19914,0.19969,356458,1759109699999
0.19978,0.19978,0.19915,0.19962,273951,1759109759999
0.19962,0.1998,0.19809,0.19883,693874,1759109819999
0.19884,0.2,0.19839,0.19989,318438,1759109879999
0.19975,0.20122,0.19946,0.20091,459459,1759109939999
0.20087,0.20185,0.20083,0.20144,264795,1759109999999
0.20144,0.20164,0.20088,0.20154,258259,1759110059999
0.20147,0.20154,0.20063,0.20096,203727,1759110119999
0.20091,0.20146,0.20017,0.20045,234268,1759110179999
0.20042,0.20043,0.19912,0.1995,235133,1759110239999
0.1995,0.20008,0.19842,0.19864,493622,1759110299999
0.19864,0.19929,0.19818,0.19886,256452,1759110359999
0.19884,0.19884,0.19636,0.19754,610057,1759110419999
0.19753,0.19754,0.19555,0.19654,852576,1759110479999
0.19659,0.19659,0.19467,0.19495,999870,1759110539999
0.19497,0.19665,0.19456,0.19625,673568,1759110599999
0.19628,0.20062,0.19572,0.2001,1048015,1759110659999
0.20007,0.20014,0.1977,0.19886,765750,1759110719999
0.19883,0.19883,0.19767,0.19826,287288,1759110779999
0.1982,0.1982,0.19671,0.19714,281281,1759110839999
0.1972,0.19747,0.19615,0.19646,325555,1759110899999
0.19641,0.19668,0.19584,0.1962,310856,1759110959999
0.19634,0.19694,0.19605,0.19694,302125,1759111019999
0.19685,0.19714,0.196,0.196,146556,1759111079999
0.19598,0.19659,0.1959,0.19638,217266,1759111139999
0.19634,0.19684,0.19604,0.19684,154245,1759111199999
0.19684,0.19724,0.19633,0.19702,538808,1759111259999
0.19698,0.19741,0.19634,0.19636,514159,1759111319999
0.19634,0.19744,0.19615,0.19712,643311,1759111379999
0.19714,0.19881,0.19714,0.19777,496753,1759111439999
0.19777,0.19864,0.19756,0.19839,191443,1759111499999
0.19835,0.19985,0.1982,0.19958,447974,1759111559999
0.19955,0.19995,0.19899,0.19926,267907,1759111619999
0.19917,0.19936,0.19837,0.19838,244991,1759111679999
0.19838,0.19854,0.19788,0.19797,335019,1759111739999
0.19799,0.19844,0.19777,0.1978,197705,1759111799999
0.19781,0.19814,0.19736,0.19758,175331,1759111859999
0.19758,0.19785,0.1971,0.19785,247662,1759111919999
0.19786,0.19868,0.19757,0.19782,220004,1759111979999
0.19778,0.19778,0.19742,0.19747,117759,1759112039999
0.19747,0.19772,0.19539,0.19545,752636,1759112099999
0.19548,0.19641,0.19534,0.19582,236045,1759112159999
0.19584,0.19613,0.19531,0.19583,128763,1759112219999
0.19581,0.1962,0.19544,0.19599,96663,1759112279999
0.19599,0.19631,0.1932,0.19366,612921,1759112339999
0.19366,0.19427,0.19329,0.19393,313638,1759112399999
0.19399,0.19407,0.19245,0.19392,375667,1759112459999
0.19398,0.19473,0.19376,0.19424,405370,1759112519999
0.19422,0.19468,0.19372,0.19466,229274,1759112579999
0.19467,0.19516,0.19451,0.1951,253215,1759112639999
0.1951,0.19563,0.19443,0.19464,262541,1759112699999
0.19449,0.19468,0.193,0.19381,340480,1759112759999
0.19382,0.19434,0.19333,0.1942,250736,1759112819999
0.19415,0.19456,0.19374,0.19398,114542,1759112879999
0.19393,0.19425,0.19364,0.19422,81486,1759112939999
0.19426,0.19446,0.19351,0.19377,224872,1759112999999
0.19378,0.195,0.1933,0.19442,249528,1759113059999
0.19442,0.19451,0.19345,0.19423,165578,1759113119999
0.19423,0.1947,0.19384,0.19436,178893,1759113179999
0.19444,0.19511,0.19438,0.19464,127682,1759113239999
0.1947,0.19474,0.19406,0.19445,226604,1759113299999
0.19445,0.19451,0.19384,0.19422,122655,1759113359999
0.1942,0.19452,0.1939,0.1942,142254,1759113419999
0.19423,0.19432,0.19372,0.194,121746,1759113479999
0.19402,0.19412,0.19363,0.1938,88042,1759113539999
0.1938,0.19425,0.19363,0.19385,86739,1759113599999
0.19394,0.19485,0.19393,0.19472,159195,1759113659999
0.19477,0.19678,0.19477,0.19602,365369,1759113719999
0.19602,0.19609,0.19475,0.19523,287495,1759113779999
0.19524,0.19576,0.19424,0.19424,187286,1759113839999
0.19433,0.1945,0.19337,0.1934,277093,1759113899999
0.19345,0.19385,0.19265,0.19292,238403,1759113959999
0.19296,0.19376,0.19232,0.19355,317485,1759114019999
0.19366,0.19401,0.19294,0.19294,223587,1759114079999
0.19297,0.19346,0.19258,0.19304,156250,1759114139999
0.19305,0.19396,0.19292,0.19389,162694,1759114199999
0.19391,0.19402,0.19293,0.19393,161486,1759114259999
0.194,0.19402,0.19317,0.1937,161588,1759114319999
0.19367,0.19397,0.19354,0.19364,72061,1759114379999
0.19371,0.19385,0.19337,0.19368,91302,1759114439999
0.19371,0.19371,0.19343,0.19368,69336,1759114499999
0.19368,0.194,0.19331,0.19341,97830,1759114559999
0.19338,0.19415,0.19318,0.19352,236162,1759114619999
0.19357,0.19449,0.19346,0.19382,182302,1759114679999
0.19382,0.195,0.19368,0.19481,211617,1759114739999
0.19477,0.19603,0.19422,0.19581,287724,1759114799999
0.1957,0.19681,0.19569,0.19638,280050,1759114859999
0.19646,0.19666,0.19573,0.19645,253313,1759114919999
0.19651,0.19678,0.19541,0.19625,257612,1759114979999
0.19613,0.19747,0.19591,0.19735,354776,1759115039999
0.19743,0.19947,0.19743,0.19853,548773,1759115099999
0.19843,0.19909,0.198,0.19814,268307,1759115159999
0.19813,0.1986,0.19777,0.19851,216126,1759115219999
0.19851,0.20018,0.19846,0.19984,439143,1759115279999
0.19986,0.20112,0.19985,0.20052,504845,1759115339999
0.20045,0.20158,0.20043,0.20111,422632,1759115399999
0.20111,0.20138,0.19978,0.19978,391967,1759115459999
0.19984,0.19985,0.199,0.1994,248940,1759115519999
0.19951,0.1997,0.1991,0.19924,146848,1759115579999
0.19926,0.19956,0.199,0.19905,112098,1759115639999
0.19909,0.19963,0.19896,0.19913,270246,1759115699999
0.19914,0.1994,0.19841,0.19924,239119,1759115759999
0.19917,0.2008,0.19916,0.20017,210030,1759115819999
0.20018,0.2004,0.19982,0.2003,107585,1759115879999
0.20032,0.2015,0.20008,0.2002,264714,1759115939999
0.20019,0.20029,0.19974,0.19998,185039,1759115999999
0.1999,0.20023,0.19974,0.19984,114663,1759116059999
0.19986,0.2001,0.19923,0.19955,100361,1759116119999
0.19956,0.19978,0.19839,0.1988,219383,1759116179999
0.19874,0.19911,0.19831,0.19892,214365,1759116239999
0.19887,0.19914,0.19843,0.19875,114742,1759116299999
0.19869,0.19967,0.19851,0.1992,171953,1759116359999
0.19923,0.19958,0.19908,0.19958,49822,1759116419999
0.19953,0.20017,0.19946,0.19947,103483,1759116479999
0.19948,0.20056,0.1992,0.20012,177571,1759116539999
0.20009,0.2005,0.19989,0.20026,132975,1759116599999
0.20024,0.2004,0.19921,0.19976,208274,1759116659999
0.19974,0.19974,0.19921,0.19933,121190,1759116719999
